ID,kind,mean_hue,mean_sat,mean_val,edge_percent,fourth_LBP,eighth_LBP,Red percentage,Yellow percentage,Green percentage,circles_s
fun1072,fun,19.41223921473861,100.34446093830913,143.2767056765745,23.789139365484864,14433,4497,29.569142288605505,21.415484669425,0.223254911001371,5.0
fun1073,fun,19.21470670203652,99.55649714598322,143.17350151216442,23.86639279115616,16174,4852,29.5431056756524,20.35677374903109,0.2131599345448281,5.0
fun1074,fun,18.69615496130428,102.0686375092,144.72224948145504,24.41621874790909,14782,4675,29.959841238248003,20.99495381156994,0.2048916415918324,6.0
fun1075,fun,19.187657109548617,102.62968899899208,146.04687481025417,24.5424848506928,13563,4372,28.83026470138216,21.96791962054368,0.3531901871780486,4.0
fun1076,fun,19.692581645508287,104.09993700940014,145.2520350809187,24.452466324256225,13334,4413,29.2328092924811,20.91828277805404,0.4233128052123576,4.0
fun1077,fun,19.87894442207403,101.81179717347108,142.20788442462754,23.63363156912621,16740,5174,29.89690721649485,19.59069102786568,0.3909360008165765,6.0
fun1078,fun,18.88384229784479,105.06888433278723,143.77411000696495,23.65532328157035,17107,5186,30.07700453391181,21.19218234344639,0.3834805226849805,7.0
fun1079,fun,16.309991952628607,119.94214300299072,146.59180609438246,22.720011530562,13498,4206,26.151531763536,24.70582235877561,0.1121890896110353,2.0
fun1080,fun,19.46425637615397,104.82730597715538,142.07761891722734,22.619699577530906,16997,4869,29.79568092749837,20.732976812540823,0.4388471587197909,4.0
fun1081,fun,19.03729392254414,105.68124085455078,141.91040874061068,22.52365622866062,17175,4889,30.115928446273585,20.5034432174728,0.4604539342325088,10.0
fun1082,fun,17.919922321224583,106.52774921940448,143.632463254893,23.15703297540172,17662,5043,30.08517955293159,21.301845722634702,0.4422975618968105,9.0
fun1083,fun,17.514475529925186,106.75534795822942,143.26087125935163,23.263131234413965,17052,5069,31.95381738352712,19.662167655906984,0.4167005447597366,7.0
fun1084,fun,17.93985535239076,105.82298909777664,145.01358485706928,23.145763584857068,15657,4648,32.25446176755939,19.44225085174071,0.3474650842715642,8.0
fun1085,fun,17.621752997233322,107.23165155241315,144.092808561328,23.671418690439594,17276,5344,32.034462305596605,19.7213258135537,0.3719677091815705,4.0
fun1086,fun,17.890175305039225,108.05804732601662,144.73223159720018,23.94214299308507,15383,4871,32.141503333556315,19.78281713381051,0.3746069971235534,7.0
fun1087,fun,18.53642096107849,105.57918072927006,142.72359775754654,24.25385480775594,17324,5595,31.56884742560227,19.459533931664303,0.2952290977798771,8.0
fun1088,fun,17.7986596795324,106.36642144512749,144.21109543484835,24.14390809231079,16025,5183,32.531476475476225,18.60609439261184,0.2745316658076595,7.0
fun1089,fun,17.826069291571248,105.05519132747284,143.60752013001402,23.93347861416857,17583,5649,31.938121208054977,19.67162834386052,0.3153364707235486,5.0
fun1090,fun,16.33819797710242,118.8888478537986,146.64119181786774,23.07032487878102,13617,4305,27.40162437826607,23.55096644210792,0.1246615878612352,4.0
fun1091,fun,17.342290371433126,107.10797266060897,144.32951737605612,22.98441734417344,16627,4847,32.19983163758431,19.514451107346627,0.2733291069517049,9.0
fun1092,fun,17.52540920911733,107.3618683391974,144.74914078833308,22.942226301565448,16437,4656,32.13970361386823,19.46616453366525,0.2319173608229874,4.0
fun1093,fun,16.578544225714744,112.69695864399506,146.24551842514617,23.24304028321622,15371,4813,31.73337243931053,21.348479379117407,0.2797581445717895,5.0
fun1094,fun,16.533664208404694,111.51349713979472,144.27891370451923,23.048244847552805,14108,4395,32.87464215945252,18.751459006524065,0.16340873069504,2.0
fun1095,fun,15.812773095737947,113.54460438158569,144.4973029441604,22.45738450875413,16842,4633,32.246769224298376,19.286863439921767,0.1692936982786721,9.0
fun1096,fun,15.50266240681576,118.68433251895009,145.23058322370483,22.4819896009522,13386,3885,34.08841023195433,18.49805931990091,0.1669117354846401,2.0
fun1097,fun,16.025227533342285,110.13990847012884,143.59180363433506,23.48887901734522,16091,4727,32.77414911818192,18.11304918597269,0.14526594428244,8.0
fun1098,fun,15.908690623541586,112.40704705476531,144.5911571941643,22.74618022441816,16411,4773,32.86018301766333,18.7390934241328,0.2117471802511172,3.0
fun1099,fun,15.905914399701086,115.56499572119036,146.4670652187014,23.506936492822447,13575,4377,34.370377926250825,18.24730963431428,0.2052838272045698,5.0
fun1100,fun,15.541289375933587,115.56427712197122,147.4723790136023,23.99635157107166,12337,3903,35.178152574556016,16.964983804311405,0.1689377862169105,3.0
fun1101,fun,16.83632381433746,115.57369098764094,146.35755803458608,22.40875121845554,13324,4142,27.83025482172677,21.73186992491746,0.1032544265555088,3.0
fun1102,fun,17.098760112978123,107.4496864378381,143.9056321508928,23.318492986739432,13908,4286,32.84122141254192,16.25986535212688,0.1323785269421821,2.0
fun1103,fun,15.749025720966484,117.88563979896256,144.15295508909614,23.515736286182705,12111,3834,35.12475457528985,16.829327715436317,0.0888544936010433,1.0
fun1104,fun,15.820575342100703,117.38356584189418,144.68985090138705,23.797151270469413,12041,4003,34.54424616080772,16.838711502022115,0.0933284312339149,4.0
fun1105,fun,15.812266455878126,116.00204800229952,145.79240921720802,23.58556098495736,13697,4440,33.172209250962325,18.146021328958163,0.1729033886540039,5.0
fun1106,fun,15.684474368375442,118.603653089794,145.23847743483768,24.042397173521763,12115,4059,33.496457010310735,17.85072769189426,0.0735470913539736,2.0
fun1107,fun,15.603809226224293,120.70781729348936,145.35271560049995,23.542779229632995,11313,3637,33.608057223221984,17.619126831702633,0.0483917310629546,0.0
fun1108,fun,15.593797708452202,118.44859438370318,145.96908106774407,23.48913596619736,10525,3370,33.43162611403061,17.25779615505,0.064247236545146,2.0
fun1109,fun,16.244598545812096,118.69255052138588,145.93580355525654,22.90863456413176,12756,4061,32.36619757136359,19.147909746247468,0.2922082397210238,1.0
fun1110,fun,15.832368827160494,115.86689814814817,146.36467335390947,22.84207818930041,12888,3881,33.273041302307874,17.566740558403936,0.1346370918388162,3.0
fun1111,fun,16.64590736613865,111.94808167198698,145.76629524784678,23.53189182677829,13555,4175,31.320446779211508,18.44749324220941,0.1963584434130667,3.0
fun1112,fun,16.709846373079664,114.5005062563282,147.11438892986163,22.041525519068987,13058,3771,27.82192905772338,20.15020265437495,0.0781477655037219,3.0
